artist_id,artist_name,song_id,song_name,loudness,song_hotttnesss,tempo,key_confidence,mode_confidence,year,artist_hotttnesss,duration
ARD7TVE1187B99BFB1,Casual,SOMZWCG12A8C13C480,I Didn't Mean To,-11.197,0.6021199899057548,92.198,0.736,0.636,0,0.4019975433642836,218.93179
ARMJAGH1187FB546F3,The Box Tops,SOCIWDW12A8C13D406,Soul Deep,-9.843,nan,121.274,0.169,0.43,1969,0.4174996449709784,148.03546
ARKRRTF1187B9984DA,Sonora Santanera,SOXVLOJ12AB0189215,Amor De Cabaret,-9.689,nan,100.07,0.643,0.565,0,0.34342837829688244,177.47546
AR7G5I41187FB4CE6C,Adam Ant,SONHOTT12A8C13493C,Something Girls,-9.013,nan,119.293,0.751,0.749,1982,0.4542311565706205,233.40363
ARXR32B1187FB57099,Gob,SOFSOCN12A8C143F5D,Face the Ashes,-4.501,0.6045007385888197,129.738,0.092,0.371,2007,0.40172368550367865,209.60608
ARKFYS91187B98E58F,Jeff And Sheri Easter,SOYMRWW12A6D4FAB14,The Moon And I (Ordinary Day Album Version),-9.323,nan,147.782,0.635,0.557,0,0.385470550555821,267.7024
ARD0S291187B9B7BF5,Rated R,SOMJBYD12A6D4F8557,Keepin It Real (Skit),-17.302,nan,111.787,0.0,0.0,0,0.2619411773808474,114.78159
AR10USD1187B99F3F1,Tweeterfriendly Music,SOHKNRJ12A6701D1F8,Drop of Rain,-11.642,nan,101.43,0.0,0.16,0,0.6055071356905752,189.57016
AR8ZCNI1187B9A069B,Planet P Project,SOIAZJW12AB01853F1,Pink World,-13.496,0.26586104921065007,86.643,0.717,0.652,1984,0.33227574659906806,269.81832
ARNTLGG11E2835DDB9,Clp,SOUDSGM12AC9618304,Insatiable (Instrumental Version),-6.697,nan,114.041,0.053,0.473,0,0.42270564102939107,266.39628
ARGSJW91187B9B1D6B,JennyAnyKind,SOQHXMF12AB0182363,Young Boy Blues,-10.021,0.0,146.765,0.354,0.485,0,0.29626895431146333,218.77506
ARC43071187B990240,Wayne Watson,SOKEJEJ12A8C13E0D0,The Urgency (LP Version),-7.545,0.26586104921065007,117.975,0.07,0.686,0,0.35155586118563925,245.21098
ARL7K851187B99ACD2,Andy Andy,SOMUYGI12AB0188633,La Culpa,-6.632,0.0,130.04,0.205,0.305,0,0.3794821702804675,226.35057
ARHHO3O1187B989413,Bob Azzam,SORAMLE12AB017C8B0,Auguri Cha Cha,-7.75,0.0,137.334,0.0,0.198,0,0.25193652476242323,191.84281
ARIK43K1187B9AE54C,Lionel Richie,SOBONFF12A6D4F84D8,Tonight Will Be Alright,-8.346,nan,125.197,0.524,0.533,1986,0.5530719914619753,307.3824
ARD842G1187B997376,Blue Rodeo,SOHUOAP12A8AE488E9,Floating,-8.576,0.4051157216913865,119.826,1.0,0.829,1987,0.4479354804795022,491.12771
ARIG6O41187B988BDD,Richard Souther,SOUQQEA12A8C134B1B,High Tide,-16.11,0.3347065490692206,127.756,0.041,0.516,0,0.33080635685585685,228.5971
AR1ZHYZ1187FB3C717,Faiz Ali Faiz,SOILPQQ12AB017E82A,Sohna Nee Sohna Data,-8.032,nan,99.273,0.06,0.346,0,0.30667609347902947,599.24853
ARYKCQI1187FB3B18F,Tesla,SOXLBJT12A8C140925,Caught In A Dream,-5.271,0.6841361912294903,150.062,0.725,0.756,2004,0.5134632897021558,290.29832
ARNPAGP1241B9C7FD4,lextrical,SOZVMJI12AB01808AF,Synthetic Dream,-6.787,0.0,138.331,0.011,0.568,0,0.0,165.69424
ARQGYP71187FB44566,Jimmy Wakely,SOWTBJW12AC468AC6E,Broken-Down Merry-Go-Round,-15.221,nan,86.186,0.799,0.716,0,0.29153972708877773,151.84934
ARI3BMM1187FB4255E,Alice Stuart,SOBEBDG12A58A76D60,Kassie Jones,-8.514,0.0,110.382,0.809,0.521,0,0.3285530150180186,220.78649
AR5KOSW1187FB35FF4,Elena,SOZCTXZ12AB0182364,Setanta matins,-8.05,0.3135621142479342,111.874,0.596,0.666,0,0.37825468551016656,269.58322
ARMAC4T1187FB3FA4C,The Dillinger Escape Plan,SOBBUGU12A8C13E95D,Setting Fire to Sleeping Giants,-4.264,0.6665278462297023,166.862,0.381,0.453,2004,0.5418889720336469,207.77751
AR47JEX1187B995D81,SUE THOMPSON,SOBLGCN12AB0183212,James (Hold The Ladder Steady),-12.332,0.4952936212921635,137.522,0.697,0.541,1985,0.3062422642462862,124.86485
ARGIWFO1187B9B55B7,Five Bolt Main,SOPSWQW12A6D4F8781,Made Like This (Live),-5.908,0.37598430150044215,164.672,0.53,0.512,0,0.3636513650591166,225.09669
ARNTLGG11E2835DDB9,Clp,SOZQDIU12A58A7BCF6,Superconfidential,-6.486,nan,125.006,0.687,0.486,0,0.42270564102939107,338.31138
ARDNS031187B9924F0,Tim Wilson,SONYPOM12A8C13B2D7,I Think My Wife Is Running Around On Me (Taco Hell),-4.516,nan,90.022,0.762,0.539,2005,0.3499126116745628,186.48771
AROUOZZ1187B9ABE51,Willie Bobo,SOBZBAZ12A6D4F8742,Spanish Grease,-9.616,nan,127.025,0.812,0.736,1997,0.3796711247498673,168.25424
ARH4Z031187B9A71F2,Faye Adams,SOVYKGO12AB0187199,Crazy Mixed Up World,-18.051,0.0,95.957,0.569,0.495,1961,0.2992303679293693,156.39465
ARB29H41187B98F0EF,Terry Callier,SOGNCJP12A58A80271,Do You Finally Need A Friend,-11.939,0.4137398358601097,110.189,0.381,0.538,1972,0.4161730646266773,342.56934
AR1Y2PT1187FB5B9CE,John Wesley,SOLLHMX12AB01846DC,The Emperor Falls,-15.335,0.3775316449767025,138.007,0.283,0.363,0,0.45278947675222264,484.62322
ARAJPHH1187FB5566A,The Shangri-Las,SOYTPEP12AB0180E7B,Twist and Shout,-10.922,0.4432913119053975,130.1,0.254,0.042,1964,0.4182165181949368,164.80608
AR0RCMP1187FB3F427,Billie Jo Spears,SOGXHEG12AB018653E,It Makes No Difference Now,-9.983,0.0,160.839,0.384,0.402,1992,0.3846110839616365,133.32853
AREBBGV1187FB523D2,Mike Jones (Featuring CJ_ Mello & Lil' Bran),SOOLYAZ12A6701F4A6,Laws Patrolling (Album Version),-7.762,nan,41.993,0.299,0.464,0,0.42631795640769016,173.66159
ARGUVEV1187B98BA17,Sierra Maestra,SOGOSOV12AF72A285E,¿Dónde va Chichi?,-9.512,nan,189.646,0.724,0.364,1997,0.39273367554668775,313.12934
ARPQ4Z01187FB3A736,Butthole Surfers,SOJXVAH12A8C139700,"Barking Dogs (From ""Piouhgd"")",-9.063,0.593943075901947,130.586,0.726,0.367,0,0.48801984168567314,450.84689
ARNQAVF11F4C844C04,Despina Vandi,SOVXMTN12A8C135A18,OUTE ENA EFHARISTO,-8.879,nan,128.292,0.532,0.516,0,0.41168895978577885,303.09832
ARXUT4W1187FB48BEB,Javier Navarrete,SORSECL12AB0182267,Midnight Swim,-17.699,0.3943948561005826,90.932,0.0,0.251,0,0.38265197113973687,128.83546
ARDD1RC1187B9B52B4,Jacob Young,SOOGFBZ12AC3DF7FF2,In A Subtle Way,-19.478,0.0,89.667,0.611,0.546,0,0.294861261887382,456.30649
ARLGWFM1187FB4AC9F,Scarlet's Remains,SOMSBGZ12AB018C4CB,Spin,-7.469,0.450992311636255,115.061,0.673,0.579,2007,0.3931219335710068,198.73914
ARWYVP51187B98C516,The Suicide Machines,SONYRZV12AB018AF70,Burning In The Aftermath,-2.022,0.5287824809425877,115.887,0.421,0.589,2003,0.4675384440100101,95.68608
ARFCUN31187B9AD578,The Rolling Stones,SONQBUB12A6D4F8ED0,Angie (1993 Digital Remaster),-10.358,0.8344926198909054,139.333,0.301,0.392,0,0.7357656929506414,271.49016
AR6YDKV1187B989230,Roberto Torres,SOHGKJW12AC468A8BD,Sabor Guajiro,-12.716,0.0,117.271,0.863,0.671,0,0.3500785789894733,226.66404
ARV1JVD1187B9AD195,Loudon Wainwright III,SOINBCU12A6D4F94C0,Human Cannonball,-15.663,0.5101193140330347,102.428,0.544,0.596,1995,0.4427658420289504,190.48444
AR7TTS41187B9B42D3,R.L. Burnside,SOTWVQT12A58A79650,Glory Be,-6.944,0.48213758506501503,89.984,0.0,0.0,2004,0.4666288889016846,277.78567
ART3O5Z1187B9AB043,Stevie Ray Vaughan,SOTSEJY12AB0180F56,Crossfire,-7.805,nan,116.721,0.754,0.597,1992,0.544257505724526,248.78975
AR5U94U1187FB5CDCF,John Hammond,SOTSETT12AB01863B8,I Can't Be Satisfied,-10.7,nan,123.142,0.98,0.753,2002,0.45281783769711387,195.3171
ARRJNTE1187FB44E12,Casiotone For The Painfully Alone,SOTUNMH12A6D4FA3E6,Nashville Parthenon,-10.93,0.7858922883883538,141.919,0.522,0.474,2006,0.3942171989010042,175.72526
AR6IRG41187B9A4D98,Ec8or,SOEPPKB12AB018418B,Cocain Ducks,-9.493,nan,95.596,0.005,0.305,1995,0.3345773601190987,217.23383
ARS1OWB1187B99EEAD,The New York Dolls,SOGKIWV12A6D4F86C4,Human Being,-9.253,0.5616924111789523,154.953,0.425,0.486,1974,0.4793084593382274,344.05832
ARGMXQW1187FB54C34,Eliane Elias,SOPHYIS12AAF3B35A3,The More I See You,-12.009,0.4348380902608562,86.091,0.391,0.319,2009,0.42791424698295477,251.42812
AROEL1B1187B988B90,Lost Boyz,SOFHBAR12A6701D0FE,Certain Things We Do,-11.043,0.4051157216913865,90.218,0.715,0.614,1997,0.41224060053560735,269.7922
AR8W8DN1187FB35ED0,The Germs,SOCPRKM12AB018A2FD,Forming,-11.506,nan,133.144,0.641,0.597,1977,0.40439264015477133,206.05342
ARUWLCL1187FB549B8,Yamandu Costa,SOFGHAM12AB0186412,Mafuá,-14.179,nan,205.317,0.105,0.433,0,0.38347574490669173,190.04036
